match_id,inning,batting_team,total_runs
1082628,1,Royal Challengers Bangalore,162
1082629,1,Gujarat Lions,161
1082630,1,Sunrisers Hyderabad,185
1082631,1,Kolkata Knight Riders,155
1082632,1,Gujarat Lions,208
1082633,1,Kings XI Punjab,138
1082634,1,Rising Pune Supergiant,148
1082635,1,Mumbai Indians,212
1082636,1,Royal Challengers Bangalore,158
1082637,1,Kings XI Punjab,189
1082638,1,Mumbai Indians,138
1082639,1,Kings XI Punjab,167
1082640,1,Gujarat Lions,195
1082641,1,Kings XI Punjab,230
1082642,1,Delhi Daredevils,168
1082643,1,Gujarat Lions,154
1082644,1,Mumbai Indians,173
1082645,1,Kings XI Punjab,73
1082646,1,Royal Challengers Bangalore,161
1082647,1,Rising Pune Supergiant,162
1082648,1,Sunrisers Hyderabad,128
1082649,1,Kolkata Knight Riders,107
1082650,1,Mumbai Indians,129
1136561,1,Mumbai Indians,165
1136562,1,Delhi Daredevils,166
1136563,1,Royal Challengers Bangalore,176
1136564,1,Rajasthan Royals,125
1136565,1,Kolkata Knight Riders,202
1136566,1,Rajasthan Royals,153
1136567,1,Mumbai Indians,147
1136568,1,Kings XI Punjab,155
1136569,1,Mumbai Indians,194
1136570,1,Kolkata Knight Riders,138
1136571,1,Rajasthan Royals,217
1136572,1,Kings XI Punjab,197
1136573,1,Kolkata Knight Riders,200
1136574,1,Mumbai Indians,213
1136575,1,Rajasthan Royals,160
1136576,1,Kings XI Punjab,193
1136577,1,Chennai Super Kings,204
1136578,1,Kolkata Knight Riders,191
1136579,1,Delhi Daredevils,174
1136580,1,Chennai Super Kings,182
1136581,1,Mumbai Indians,167
1136582,1,Kings XI Punjab,143
1136583,1,Sunrisers Hyderabad,118
1136584,1,Royal Challengers Bangalore,205
1136585,1,Sunrisers Hyderabad,132
1136586,1,Delhi Daredevils,219
1136587,1,Chennai Super Kings,169
1136588,1,Sunrisers Hyderabad,151
1136589,1,Royal Challengers Bangalore,175
1136590,1,Chennai Super Kings,211
1136591,1,Royal Challengers Bangalore,167
1136592,1,Delhi Daredevils,196
1136593,1,Chennai Super Kings,177
1136594,1,Kings XI Punjab,174
1136595,1,Royal Challengers Bangalore,127
1136596,1,Delhi Daredevils,163
1136597,1,Mumbai Indians,181
1136598,1,Rajasthan Royals,152
1136599,1,Sunrisers Hyderabad,146
1136600,1,Rajasthan Royals,158
1136601,1,Mumbai Indians,210
1136602,1,Delhi Daredevils,187
1136603,1,Chennai Super Kings,176
1136604,1,Kolkata Knight Riders,245
1136605,1,Delhi Daredevils,181
1136606,1,Sunrisers Hyderabad,179
1136607,1,Mumbai Indians,168
1136608,1,Kings XI Punjab,88
1136609,1,Rajasthan Royals,142
1136610,1,Mumbai Indians,186
1136611,1,Royal Challengers Bangalore,218
1136612,1,Delhi Daredevils,162
1136613,1,Rajasthan Royals,164
1136614,1,Sunrisers Hyderabad,172
1136615,1,Delhi Daredevils,174
