Match_No,Team1,Team2,Toss_Winner,Toss_Decision,Team1_Runs,Team1_Wickets,Team1_Overs,Team2_Runs,Team2_Wickets,Team2_Overs,Winner,Is_Super_Over,Margin,WonBy,Player_of_Match,Umpire1,Umpire2,Third_Umpire,Referee,Date,Time,Venue,Status,Captain_Team1,Coach_Team1,Owner_Team1,Captain_Team2,Coach_Team2,Owner_Team2
Match 44,Kolkata Knight Riders,Punjab Kings,Punjab Kings,Bat,7,0,1.0,201,4,20.0,,No,,,,Adrian Holdstock,Adrian Holdstock,Adrian Holdstock,Rajiv Seth,2025-04-26,19:30:00,"PCA New Stadium, Mullanpur",,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited
Match 45,Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,Field,215,7,20.0,161,10,20.0,Mumbai Indians,No,54.0,Runs,Will Jacks,Chris Gaffaney,Chris Gaffaney,Chris Gaffaney,Daniel Manohar,2025-04-27,15:30:00,BRSABV Ekana Cricket Stadium,Completed,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd,Rishabh Pant,Justin Langer,RPSG Sports Private Limited
Match 46,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,Field,162,8,20.0,165,4,18.3,Royal Challengers Bengaluru,No,6.0,Wickets,Krunal Pandya,Nitin Menon,Nitin Menon,Nitin Menon,Iqbal Rashid Siddiqui,2025-04-27,19:30:00,M. Chinnaswamy Stadium,Completed,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd
Match 47,Rajasthan Royals,Gujarat Titans,Rajasthan Royals,Field,212,2,15.5,209,4,20.0,Rajasthan Royals,No,8.0,Wickets,Vaibhav Suryavanshi,Michael Gough,Michael Gough,Michael Gough,Rajiv Seth,2025-04-28,19:30:00,Narendra Modi Stadium,Completed,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited
Match 48,Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,Field,190,9,20.0,204,9,20.0,Kolkata Knight Riders,No,14.0,Runs,Sunil Narine,Sai Darshan Kumar,Sai Darshan Kumar,Sai Darshan Kumar,Iqbal Rashid Siddiqui,2025-04-29,19:30:00,Eden Gardens,Completed,Axar Patel,Hemang Badani,JSW GMR Cricket Pvt Ltd,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited
Match 49,Chennai Super Kings,Punjab Kings,Punjab Kings,Field,190,10,19.2,194,6,19.4,Punjab Kings,No,4.0,Wickets,Shreyas Iyer,Akshay Totre,Akshay Totre,Akshay Totre,Amit Sharma,2025-04-30,19:30:00,"PCA New Stadium, Mullanpur",Completed,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited,Shreyas Iyer,Ricky Ponting,K.P.H. Dream Cricket Private Limited
Match 50,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,Field,117,10,16.1,217,2,20.0,Mumbai Indians,No,100.0,Runs,Ryan Rickelton,Vinod Seshan,Vinod Seshan,Vinod Seshan,Daniel Manohar,2025-05-01,19:30:00,Wankhede Stadium,Completed,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited,Hardik Pandya,Mahela Jayawardene,Indiawin Sports Pvt. Ltd
Match 51,Gujarat Titans,Sunrisers Hyderabad,Sunrisers Hyderabad,Field,224,6,20.0,186,6,20.0,Gujarat Titans,No,38.0,Runs,Prasidh Krishna,Virender Kumar Sharma,Virender Kumar Sharma,Virender Kumar Sharma,Pankaj Dharmani,2025-05-02,19:30:00,Rajiv Gandhi Intl. Cricket Stadium,Completed,Shubman Gill,Ashish Nehra,Irelia Sports India Private Limited,Pat Cummins,Daniel Vettori,Sun TV Network Limited
Match 52,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Field,213,5,20.0,211,5,20.0,Royal Challengers Bengaluru,No,2.0,Runs,Romario Shepherd,Nitin Menon,Nitin Menon,Nitin Menon,Iqbal Rashid Siddiqui,2025-05-03,19:30:00,M. A. Chidambaram Stadium,Completed,Rajat Patidar,Andy Flower,Royal Challengers Sports Private Ltd,MS Dhoni,Stephen Fleming,Chennai Super Kings Cricket Limited
Match 53,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders,Bat,206,4,20.0,205,8,20.0,,No,,,Andre Russell,Rohan Pandit,Rohan Pandit,Rohan Pandit,Amit Sharma,2025-05-04,15:30:00,Sawai Mansingh Stadium,,Ajinkya Rahane,Chandrakant Pandit,Knight Riders Sports Private Limited,Sanju Samson,Rahul Dravid,Royal Multisport Private Limited
